present_state,next_state_0,next_state_1
S395,S110/0,S25/0
S32,S393/0,S150/0
S20,S203/0,S96/0
S224,S364/0,S346/0
S347,S112/0,S2/0
S337,S243/0,S295/0
S187,S43/0,S135/0
S171,S366/0,S153/0
S126,S248/0,S275/0
S377,S336/0,S174/0
S164,S393/0,S401/0
S35,S7/0,S319/0
S394,S264/0,S197/0
S186,S343/0,S5/0
S80,S299/0,S151/0
S162,S173/0,S145/0
S129,S348/0,S63/0
S119,S190/0,S118/0
S168,S343/0,S258/0
S159,S199/0,S86/0
S99,S399/0,S208/0
S400,S336/0,S356/0
S42,S199/0,S2/0
S79,S312/0,S319/0
S31,S221/0,S147/0
S286,S127/0,S401/0
S11,S110/0,S77/0
S237,S188/0,S350/0
S137,S316/0,S150/0
S239,S249/0,S128/0
S184,S280/0,S356/0
S324,S104/0,S5/0
S323,S243/0,S69/0
S273,S289/0,S219/0
S130,S196/0,S106/0
S302,S386/0,S350/0
S10,S205/0,S106/0
S17,S104/0,S38/0
S53,S104/0,S151/0
S18,S274/0,S98/0
S310,S4/0,S13/0
S235,S59/0,S181/0
S211,S364/0,S204/0
S283,S312/0,S124/0
S195,S359/0,S150/0
S101,S4/0,S28/0
S172,S256/0,S124/0
S218,S205/0,S334/0
S73,S397/0,S114/0
S48,S236/0,S275/0
S232,S110/0,S219/0
S6,S143/0,S208/0
S385,S399/0,S105/0
S163,S112/0,S358/0
S276,S203/0,S13/0
S313,S15/0,S5/0
S285,S23/0,S345/0
S29,S289/0,S350/0
S331,S256/0,S135/0
S30,S387/0,S197/0
S155,S253/0,S284/0
S87,S37/0,S28/0
S123,S305/0,S358/0
S100,S14/0,S251/0
S93,S390/0,S269/0
S226,S205/0,S307/0
S291,S303/0,S207/0
S327,S160/0,S5/0
S261,S359/0,S13/0
S382,S127/0,S69/0
S44,S236/0,S135/0
S156,S359/0,S66/0
S402,S387/0,S153/0
S278,S56/0,S321/0
S297,S149/0,S166/0
S39,S160/0,S251/0
S238,S289/0,S334/0
S136,S23/0,S114/0
S227,S110/0,S295/0
S246,S398/0,S345/0
S84,S67/0,S16/0
S51,S206/0,S63/0
S380,S102/0,S166/0
S220,S57/0,S128/0
S372,S67/0,S350/0
S153,S46/0,S325/1
S140,S338/0,S391/1
S204,S222/0,S217/1
S92,S245/0,S62/1
S193,S288/0,S229/1
S295,S178/0,S191/1
S321,S131/0,S176/1
S66,S268/0,S81/1
S269,S311/0,S157/1
S258,S384/0,S320/1
S38,S245/0,S60/1
S363,S341/0,S1/1
S13,S320/0,S213/1
S197,S360/0,S33/1
S98,S170/0,S352/1
S88,S85/0,S189/1
S272,S391/0,S161/1
S334,S209/0,S133/1
S108,S255/0,S341/1
S128,S341/0,S344/1
S219,S301/0,S245/1
S77,S223/0,S338/1
S277,S8/0,S338/1
S105,S222/0,S223/1
S63,S202/0,S330/1
S251,S46/0,S144/1
S96,S215/0,S34/1
S322,S40/0,S138/1
S231,S170/0,S144/1
S307,S182/0,S117/1
S250,S62/0,S315/1
S5,S213/0,S133/1
S319,S185/0,S200/1
S181,S384/0,S83/1
S358,S241/0,S279/1
S365,S255/0,S223/1
S260,S40/0,S50/1
S69,S255/0,S52/1
S114,S134/0,S27/1
S265,S158/0,S192/1
S304,S61/0,S19/1
S150,S82/0,S360/1
S208,S12/0,S36/1
S147,S259/0,S388/1
S317,S81/0,S320/1
S356,S370/0,S245/1
S401,S109/0,S244/1
S72,S223/0,S326/1
S207,S217/0,S338/1
S28,S287/0,S12/1
S350,S351/0,S351/1
S145,S68/0,S183/1
S346,S223/0,S268/1
S25,S152/0,S369/1
S174,S388/0,S121/1
S166,S391/0,S252/1
S118,S349/0,S83/1
S357,S245/0,S223/1
S135,S65/0,S144/1
S141,S293/0,S311/1
S284,S12/0,S288/1
S97,S65/0,S242/1
S2,S94/0,S351/1
S275,S341/0,S68/1
S124,S209/0,S252/1
S339,S245/0,S384/1
S151,S27/0,S320/1
S106,S244/0,S200/1
S345,S247/0,S40/1
S95,S62/0,S330/1
S353,S257/0,S12/1
S16,S241/0,S131/1
S86,S222/0,S189/1
S389,S330/0,S71/1
S240,S287/0,S392/1
S54,S82/0,S9/1
S290,S233/0,S328/1
S21,S229/0,S375/1
S378,S182/0,S47/1
S296,S142/0,S50/1
S190,S63/1,S248/0
S110,S284/1,S398/0
S354,S141/1,S22/0
S15,S219/1,S37/0
S59,S140/1,S386/0
S316,S13/1,S149/0
S306,S13/1,S76/0
S64,S128/1,S298/0
S305,S208/1,S253/0
S67,S150/1,S262/0
S270,S95/1,S398/0
S205,S16/1,S397/0
S194,S69/1,S249/0
S76,S357/1,S303/0
S387,S151/1,S205/0
S4,S118/1,S70/0
S243,S153/1,S332/0
S355,S135/1,S107/0
S216,S265/1,S348/0
S398,S28/1,S270/0
S127,S140/1,S300/0
S249,S69/1,S203/0
S37,S174/1,S312/0
S188,S181/1,S49/0
S14,S86/1,S104/0
S180,S92/1,S348/0
S298,S401/1,S67/0
S253,S250/1,S216/0
S23,S304/1,S243/0
S336,S28/1,S23/0
S271,S66/1,S366/0
S264,S251/1,S381/0
S173,S356/1,S381/0
S196,S72/1,S270/0
S397,S350/1,S22/0
S206,S21/1,S201/0
S143,S145/1,S343/0
S289,S219/1,S248/0
S314,S204/1,S90/0
S160,S260/1,S305/0
S113,S193/1,S216/0
S107,S356/1,S274/0
S167,S251/1,S104/0
S262,S251/1,S104/0
S390,S128/1,S149/0
S149,S389/1,S343/0
S343,S290/1,S203/0
S221,S208/1,S299/0
S340,S322/1,S256/0
