present_state,next_state_0,next_state_1
S257,S45/0,S299/0
S226,S246/0,S18/0
S36,S30/0,S61/0
S93,S30/0,S34/0
S138,S118/0,S194/0
S177,S300/0,S175/0
S33,S102/0,S129/0
S286,S136/0,S82/0
S112,S137/0,S34/0
S296,S30/0,S270/0
S269,S235/0,S23/0
S88,S93/0,S37/0
S276,S253/0,S194/0
S94,S13/0,S270/0
S222,S118/0,S211/0
S117,S253/0,S25/0
S63,S19/0,S140/0
S137,S19/0,S23/0
S278,S94/0,S82/0
S240,S279/0,S158/0
S76,S279/0,S8/0
S13,S276/0,S270/0
S253,S279/0,S175/0
S246,S226/0,S194/0
S260,S30/0,S21/0
S120,S246/0,S18/0
S224,S257/0,S299/0
S30,S246/0,S6/0
S290,S118/0,S106/0
S118,S13/0,S74/0
S300,S137/0,S129/0
S179,S102/0,S234/0
S29,S136/0,S37/0
S102,S45/0,S6/0
S197,S45/0,S178/0
S229,S78/0,S61/0
S279,S94/0,S244/0
S49,S118/0,S160/0
S136,S33/0,S7/0
S243,S13/0,S34/0
S45,S36/0,S18/0
S31,S94/0,S106/0
S184,S118/0,S8/0
S235,S31/0,S158/0
S78,S243/0,S299/0
S282,S253/0,S178/0
S142,S184/0,S23/0
S19,S197/0,S175/0
S271,S276/0,S37/0
S160,S82/0,S117/1
S241,S21/0,S300/1
S57,S299/0,S226/1
S140,S3/0,S286/1
S25,S154/0,S137/1
S81,S244/0,S78/1
S244,S6/0,S282/1
S154,S18/0,S30/1
S7,S178/0,S112/1
S37,S81/0,S296/1
S21,S7/0,S120/1
S194,S23/0,S179/1
S189,S234/0,S136/1
S299,S61/0,S36/1
S6,S189/0,S49/1
S8,S104/0,S177/1
S14,S158/0,S117/1
S234,S175/0,S179/1
S74,S129/0,S36/1
S104,S241/0,S142/1
S106,S178/0,S253/1
S23,S61/0,S276/1
S178,S194/0,S49/1
S158,S299/0,S49/1
S214,S82/0,S142/1
S141,S158/0,S94/1
S34,S158/0,S137/1
S82,S194/0,S224/1
S3,S299/0,S177/1
S175,S106/0,S290/1
S211,S74/0,S93/1
S270,S270/0,S278/1
S182,S241/0,S278/1
S129,S106/0,S271/1
S18,S299/0,S88/1
S61,S25/0,S253/1
S53,S80/1,S34/0
S213,S153/1,S178/0
S68,S143/1,S160/0
S172,S219/1,S81/0
S1,S212/1,S194/0
S75,S165/1,S154/0
S207,S162/1,S8/0
S56,S272/1,S154/0
S201,S99/1,S3/0
S101,S60/1,S211/0
S242,S24/1,S25/0
S239,S191/1,S74/0
S35,S294/1,S21/0
S46,S83/1,S214/0
S183,S143/1,S160/0
S283,S132/1,S57/0
S161,S191/1,S160/0
S147,S291/1,S175/0
S303,S156/1,S57/0
S274,S272/1,S241/0
S110,S77/1,S178/0
S150,S280/1,S57/0
S208,S247/1,S270/0
S262,S44/1,S106/0
S307,S187/1,S160/0
S236,S85/1,S160/0
S114,S55/1,S23/0
S245,S143/1,S140/0
S267,S85/1,S37/0
