present_state,next_state_0,next_state_1
S231,S766/0,S518/0
S606,S696/0,S61/0
S25,S244/0,S255/0
S375,S15/0,S821/0
S56,S470/0,S622/0
S57,S456/0,S691/0
S569,S151/0,S570/0
S432,S187/0,S407/0
S214,S632/0,S672/0
S371,S294/0,S795/0
S78,S632/0,S674/0
S418,S540/0,S346/0
S536,S420/0,S358/0
S762,S351/0,S772/0
S121,S812/0,S35/0
S781,S380/0,S176/0
S486,S491/0,S263/0
S194,S439/0,S96/0
S401,S648/0,S214/0
S137,S331/0,S355/0
S708,S660/0,S281/0
S519,S626/0,S627/0
S691,S244/0,S375/0
S559,S812/0,S346/0
S362,S619/0,S346/0
S525,S740/0,S83/0
S449,S729/0,S762/0
S417,S232/0,S674/0
S240,S747/0,S137/0
S638,S124/0,S586/0
S816,S452/0,S809/0
S95,S190/0,S61/0
S795,S23/0,S606/0
S557,S102/0,S536/0
S109,S798/0,S432/0
S58,S297/0,S786/0
S310,S717/0,S636/0
S4,S612/0,S210/0
S161,S690/0,S517/0
S672,S538/0,S424/0
S388,S359/0,S383/0
S713,S398/0,S57/0
S132,S256/0,S240/0
S472,S729/0,S202/0
S678,S316/0,S7/0
S337,S820/0,S472/0
S570,S190/0,S582/0
S184,S349/0,S371/0
S34,S37/0,S59/0
S413,S118/0,S172/0
S162,S798/0,S611/0
S790,S90/0,S130/0
S241,S592/0,S58/0
S50,S792/0,S388/0
S407,S90/0,S458/0
S600,S545/0,S543/0
S221,S495/0,S691/0
S469,S118/0,S375/0
S319,S801/0,S793/0
S166,S712/0,S622/0
S289,S268/0,S691/0
S675,S30/0,S210/0
S793,S52/0,S622/0
S383,S75/0,S214/0
S176,S100/0,S671/0
S391,S766/0,S337/0
S27,S380/0,S489/0
S509,S545/0,S83/0
S279,S568/0,S356/0
S582,S380/0,S382/0
S461,S114/0,S121/0
S484,S297/0,S672/0
S269,S628/0,S514/0
S145,S230/0,S255/0
S139,S766/0,S708/0
S346,S540/0,S168/0
S130,S102/0,S210/0
S493,S53/0,S333/0
S355,S52/0,S768/0
S157,S270/0,S646/0
S664,S32/0,S228/0
S458,S654/0,S472/0
S7,S806/0,S469/0
S435,S453/0,S691/0
S263,S505/0,S435/0
S308,S79/0,S358/0
S698,S491/0,S22/0
S726,S725/0,S228/0
S80,S479/0,S158/0
S382,S478/0,S73/0
S356,S242/0,S472/0
S202,S660/0,S525/0
S711,S780/0,S493/0
S611,S641/0,S202/0
S73,S574/0,S493/0
S333,S306/0,S61/0
S673,S766/0,S673/0
S22,S820/0,S83/0
S358,S68/0,S407/0
S35,S623/0,S711/0
S630,S351/0,S95/0
S586,S53/0,S821/0
S172,S632/0,S514/0
S768,S496/0,S355/0
S549,S660/0,S382/0
S666,S299/0,S382/0
S61,S29/0,S559/0
S809,S159/0,S72/0
S829,S798/0,S713/0
S636,S32/0,S157/0
S703,S670/0,S50/0
S732,S49/0,S469/0
