present_state,next_state_0,next_state_1
S674,S49/0,S487/0
S628,S402/0,S579/0
S33,S301/0,S443/0
S350,S615/0,S240/0
S19,S689/0,S491/0
S694,S194/0,S584/0
S490,S88/0,S463/0
S481,S82/0,S614/0
S225,S445/0,S491/0
S516,S208/0,S231/0
S578,S402/0,S697/0
S558,S10/0,S487/0
S301,S481/0,S27/0
S629,S274/0,S446/0
S633,S392/0,S172/0
S193,S445/0,S579/0
S20,S244/0,S704/0
S670,S301/0,S27/0
S683,S558/0,S584/0
S66,S633/0,S521/0
S150,S462/0,S206/0
S436,S683/0,S206/0
S88,S223/0,S206/0
S113,S19/0,S446/0
S314,S427/0,S180/0
S49,S380/0,S584/0
S239,S629/0,S273/0
S689,S552/0,S265/0
S86,S301/0,S506/0
S402,S274/0,S265/0
S422,S381/0,S180/0
S380,S392/0,S479/0
S597,S314/0,S122/0
S305,S580/0,S273/0
S276,S163/0,S180/0
S435,S462/0,S180/0
S24,S425/0,S704/0
S320,S694/0,S584/0
S244,S529/0,S521/0
S178,S150/0,S273/0
S546,S320/0,S231/0
S423,S509/0,S273/0
S570,S409/0,S421/0
S194,S381/0,S521/0
S401,S674/0,S122/0
S462,S19/0,S27/0
S580,S628/0,S443/0
S392,S239/0,S443/0
S425,S578/0,S596/0
S696,S339/0,S584/0
S6,S572/0,S614/0
S529,S578/0,S521/0
S83,S419/0,S596/0
S472,S194/0,S269/0
S9,S462/0,S421/0
S10,S435/0,S62/0
S274,S183/0,S443/0
S216,S88/0,S212/0
S428,S629/0,S281/0
S442,S419/0,S27/0
S322,S609/0,S62/0
S243,S598/0,S214/0
S598,S529/0,S122/0
S572,S677/0,S321/0
S223,S86/0,S614/0
S82,S20/0,S486/0
S15,S6/0,S352/0
S339,S223/0,S321/0
S564,S435/0,S214/0
S359,S194/0,S141/0
S409,S615/0,S443/0
S228,S239/0,S212/0
S173,S677/0,S180/0
S381,S381/0,S122/0
S185,S529/0,S697/0
S552,S9/0,S697/0
S705,S683/0,S596/0
S208,S193/0,S240/0
S183,S88/0,S367/0
S677,S82/0,S487/0
S445,S83/0,S212/0
S419,S423/0,S491/0
S509,S419/0,S180/0
S200,S301/0,S240/0
S109,S402/0,S704/0
S691,S427/0,S697/0
S143,S462/0,S214/0
S63,S516/0,S180/0
S163,S546/0,S491/0
S427,S472/0,S141/0
S609,S428/0,S487/0
S615,S691/0,S27/0
S476,S223/0,S423/1
S318,S20/0,S173/1
S346,S83/0,S427/1
S447,S200/0,S677/1
S92,S63/0,S428/1
S622,S19/0,S597/1
S364,S82/0,S223/1
S470,S689/0,S705/1
S608,S10/0,S516/1
S453,S6/0,S193/1
S553,S629/0,S243/1
S222,S185/0,S516/1
S382,S228/0,S150/1
S342,S683/0,S516/1
S681,S628/0,S239/1
S257,S558/0,S442/1
S458,S15/0,S24/1
S254,S670/0,S436/1
S642,S225/0,S339/1
S607,S564/0,S670/1
S411,S173/0,S509/1
S668,S402/0,S481/1
S325,S193/0,S109/1
S171,S49/0,S677/1
S202,S276/0,S436/1
S23,S228/0,S670/1
S116,S223/0,S225/1
S204,S216/0,S183/1
S362,S516/0,S677/1
S562,S472/0,S113/1
S338,S609/0,S472/1
S434,S436/0,S409/1
S44,S546/0,S597/1
S624,S552/0,S670/1
S585,S546/0,S609/1
S557,S274/0,S435/1
S682,S193/0,S276/1
S587,S350/0,S178/1
S330,S705/0,S428/1
S397,S301/0,S516/1
S220,S243/0,S425/1
S40,S10/0,S9/1
S459,S696/0,S276/1
S404,S82/0,S615/1
S89,S359/0,S677/1
S107,S239/0,S350/1
S60,S516/0,S20/1
S140,S609/0,S6/1
S590,S490/0,S490/1
S81,S208/0,S24/1
S332,S20/0,S83/1
S559,S428/0,S402/1
S463,S163/1,S341/0
S611,S359/1,S344/0
S367,S150/1,S306/0
S206,S691/1,S693/0
S487,S185/1,S383/0
S446,S173/1,S528/0
S506,S445/1,S46/0
S485,S225/1,S341/0
S212,S445/1,S365/0
S141,S359/1,S630/0
S321,S481/1,S581/0
S281,S66/1,S581/0
S584,S435/1,S99/0
S352,S66/1,S676/0
S180,S670/1,S195/0
S521,S516/1,S313/0
S265,S546/1,S503/0
S421,S10/1,S465/0
S596,S425/1,S625/0
S172,S381/1,S126/0
S269,S628/1,S625/0
S27,S516/1,S215/0
S704,S529/1,S661/0
S56,S705/1,S386/0
S491,S564/1,S568/0
S519,S572/1,S661/0
S479,S689/1,S365/0
S214,S83/1,S561/0
S231,S301/1,S106/0
S535,S609/1,S671/0
S697,S208/1,S313/0
S62,S609/1,S351/0
S614,S194/1,S410/0
S122,S178/1,S22/0
S579,S63/1,S22/0
S443,S628/1,S195/0
S486,S564/1,S106/0
S498,S350/1,S288/0
S273,S83/1,S568/0
S240,S320/1,S539/0
S354,S482/1,S60/1
S313,S351/1,S682/1
S568,S505/1,S562/1
S99,S22/1,S553/1
S595,S653/1,S458/1
S416,S344/1,S325/1
S414,S528/1,S470/1
S648,S640/1,S453/1
S126,S306/1,S92/1
S410,S215/1,S624/1
S386,S561/1,S81/1
S586,S661/1,S453/1
S119,S386/1,S60/1
S671,S630/1,S257/1
S348,S97/1,S682/1
S97,S215/1,S557/1
S511,S528/1,S624/1
S341,S386/1,S364/1
S22,S581/1,S60/1
S640,S517/1,S81/1
S306,S285/1,S325/1
S505,S465/1,S44/1
S547,S539/1,S202/1
S625,S416/1,S220/1
S517,S511/1,S364/1
S574,S503/1,S447/1
S307,S386/1,S682/1
S288,S625/1,S342/1
S12,S341/1,S453/1
S594,S574/1,S40/1
S429,S653/1,S257/1
S70,S586/1,S318/1
S482,S625/1,S585/1
S3,S167/1,S587/1
S383,S383/1,S364/1
S693,S568/1,S107/1
S285,S410/1,S470/1
S528,S574/1,S622/1
S503,S511/1,S140/1
S195,S167/1,S364/1
S270,S640/1,S590/1
S215,S505/1,S624/1
S135,S465/1,S553/1
S581,S46/1,S89/1
S465,S126/1,S140/1
S271,S145/1,S642/1
S630,S568/1,S607/1
S167,S195/1,S397/1
S365,S145/1,S60/1
