present_state,next_state_0,next_state_1
S112,S140/0,S20/0
S329,S15/0,S243/0
S311,S382/0,S358/0
S206,S157/0,S149/0
S404,S187/0,S479/0
S141,S415/0,S297/0
S300,S485/0,S19/0
S190,S119/0,S75/0
S108,S15/0,S444/0
S258,S382/0,S33/0
S173,S293/0,S452/0
S290,S187/0,S365/0
S368,S293/0,S149/0
S138,S477/0,S412/0
S267,S293/0,S354/0
S12,S252/0,S193/0
S184,S155/0,S246/0
S230,S155/0,S479/0
S203,S119/0,S312/0
S97,S196/0,S317/0
S133,S157/0,S389/0
S249,S89/0,S259/0
S469,S485/0,S388/0
S295,S252/0,S277/0
S416,S252/0,S74/0
S456,S37/0,S245/0
S59,S470/0,S20/0
S36,S102/0,S5/0
S272,S485/0,S149/0
S472,S172/0,S474/0
S200,S213/0,S144/0
S454,S157/0,S317/0
S179,S196/0,S312/0
S182,S134/0,S474/0
S261,S89/0,S481/0
S483,S15/0,S57/0
S99,S485/0,S422/0
S153,S453/0,S180/0
S362,S70/0,S152/0
S346,S382/0,S113/0
S226,S477/0,S297/0
S27,S453/0,S373/0
S283,S140/0,S21/0
S0,S155/0,S461/0
S394,S100/0,S431/0
S304,S465/0,S444/0
S257,S355/0,S364/0
S323,S172/0,S154/0
S29,S134/0,S113/0
S256,S419/0,S127/0
S157,S355/0,S266/1
S477,S119/0,S452/1
S382,S196/0,S14/1
S155,S134/0,S156/1
S37,S453/0,S228/1
S279,S415/0,S57/1
S374,S382/0,S444/1
S293,S140/0,S5/1
S252,S172/0,S452/1
S119,S89/0,S177/1
S281,S25/0,S484/1
S350,S458/0,S180/1
S418,S281/0,S359/1
S458,S418/0,S412/1
S77,S134/0,S269/1
S140,S89/0,S393/1
S216,S102/0,S484/1
S423,S102/0,S307/1
S70,S355/0,S74/1
S453,S196/0,S19/1
S102,S477/0,S58/1
S100,S279/0,S461/1
S176,S293/0,S388/1
S54,S176/0,S439/1
S415,S77/0,S20/1
S465,S89/0,S486/1
S213,S453/0,S354/1
S118,S355/0,S439/1
S485,S118/0,S417/1
S187,S458/0,S389/1
S134,S419/0,S479/1
S15,S453/0,S260/1
S196,S70/0,S412/1
S355,S293/0,S127/1
S303,S355/0,S412/1
S172,S118/0,S116/1
S339,S279/0,S393/1
S89,S303/0,S20/1
S25,S25/0,S422/1
S470,S155/0,S313/1
S491,S37/0,S1/1
S419,S77/0,S152/1
S259,S127/1,S474/0
S486,S232/1,S481/0
S186,S84/1,S277/0
S84,S180/1,S412/0
S344,S397/1,S484/0
S393,S365/1,S393/0
S75,S364/1,S342/0
S417,S14/1,S259/0
S57,S397/1,S132/0
S342,S74/1,S412/0
S98,S243/1,S388/0
S132,S481/1,S373/0
S397,S344/1,S84/0
S312,S246/1,S156/0
S14,S152/1,S432/0
S461,S259/1,S232/0
S177,S364/1,S149/0
S127,S154/1,S484/0
S431,S439/1,S22/0
S74,S74/1,S132/0
S162,S292/1,S243/0
S313,S292/1,S113/0
S297,S452/1,S344/0
S88,S74/1,S412/0
S144,S388/1,S154/0
S439,S422/1,S180/0
S33,S116/1,S227/0
S5,S365/1,S113/0
S246,S342/1,S33/0
S359,S57/1,S312/0
S307,S260/1,S116/0
S245,S116/1,S444/0
S232,S162/1,S162/0
S266,S479/1,S227/0
S389,S152/1,S72/0
S72,S162/1,S364/0
S113,S72/1,S127/0
S292,S312/1,S277/0
S58,S246/1,S21/0
S354,S260/1,S474/0
S243,S33/1,S88/0
S373,S57/1,S417/0
S228,S334/1,S292/0
S19,S227/1,S22/0
S260,S344/1,S397/0
S277,S484/1,S245/0
S358,S397/1,S84/0
S444,S132/1,S393/0
S180,S243/1,S14/0
S432,S389/1,S373/0
S116,S432/1,S292/0
S193,S74/1,S312/0
S364,S358/1,S228/0
S452,S162/1,S422/0
S21,S14/1,S397/0
S481,S313/1,S84/0
S317,S417/1,S479/0
S22,S358/1,S439/0
S479,S354/1,S180/0
S388,S113/1,S162/0
S149,S243/1,S152/0
S227,S474/1,S354/0
S154,S33/1,S245/0
S484,S116/1,S474/0
S269,S127/1,S479/0
S365,S186/1,S177/0
S20,S57/1,S422/0
S156,S227/1,S186/0
S422,S474/1,S365/0
