present_state,next_state_0,next_state_1
S11,S11/0,S1/0
S2,S11/0,S1/0
S37,S11/0,S1/0
S21,S2/0,S1/0
S35,S21/0,S26/0
S20,S35/0,S17/0
S14,S2/0,S17/0
S26,S29/0,S14/1
S1,S36/0,S35/1
S17,S32/0,S2/1
S16,S29/0,S14/1
S12,S17/1,S3/0
S32,S1/1,S12/0
S3,S16/1,S3/0
S31,S26/1,S3/0
S27,S26/1,S32/0
S29,S26/1,S31/0
S36,S1/1,S31/0
S4,S26/1,S29/0
S30,S31/1,S1/1
S24,S4/1,S1/1
S38,S27/1,S17/1
S22,S12/1,S16/1
S6,S27/1,S16/1
S39,S7/0,S10/1
S7,S34/1,S8/0
S23,S18/0,S23/0
S18,S23/0,S28/0
S28,S39/0,S34/0
S34,S13/1,S8/1
S9,S25/0,S23/1
S25,S10/0,S34/0
S19,S23/0,S39/0
S33,S9/0,S7/0
S5,S19/1,S23/0
S10,S28/1,S19/0
S13,S5/1,S25/1
S15,S18/1,S23/1
S8,S13/1,S19/0
S0,S33/1,S34/0
