present_state,next_state_0,next_state_1
S114,S605/0,S504/0
S28,S504/0,S67/0
S967,S580/0,S761/0
S643,S70/0,S104/0
S728,S433/0,S87/0
S825,S696/0,S548/0
S10,S437/0,S885/0
S354,S424/0,S605/0
S253,S871/0,S696/0
S475,S965/0,S361/0
S357,S761/0,S67/0
S35,S902/0,S316/0
S148,S508/0,S772/0
S245,S361/0,S490/0
S837,S624/0,S488/0
S672,S912/0,S334/0
S234,S948/0,S156/0
S679,S544/0,S580/0
S636,S517/0,S897/0
S594,S893/0,S437/0
S863,S800/0,S773/0
S645,S430/0,S426/0
S789,S659/0,S915/0
S571,S912/0,S919/0
S185,S259/0,S772/0
S854,S440/0,S421/0
S272,S606/0,S334/0
S707,S304/0,S930/0
S133,S156/0,S606/0
S567,S905/0,S87/0
S917,S451/0,S606/0
S763,S930/0,S902/0
S518,S912/0,S827/0
S511,S696/0,S428/0
S685,S67/0,S36/0
S804,S312/0,S900/0
S683,S295/0,S489/0
S158,S509/0,S312/0
S853,S479/0,S827/0
S745,S189/0,S746/0
S553,S971/0,S417/0
S173,S509/0,S708/0
S47,S624/0,S773/0
S676,S98/0,S437/0
S924,S921/0,S971/0
S447,S259/0,S509/0
S495,S544/0,S420/0
S203,S965/0,S430/0
S0,S788/0,S555/0
S591,S949/0,S624/0
S880,S934/0,S70/0
S320,S708/0,S479/0
S799,S664/0,S58/0
S292,S98/0,S186/0
S403,S104/0,S189/0
S847,S624/0,S605/0
S749,S544/0,S735/0
S867,S410/0,S440/0
S247,S803/0,S794/0
S340,S907/0,S543/0
S741,S544/0,S508/0
S240,S949/0,S81/0
S110,S361/0,S659/0
S184,S916/0,S923/0
S132,S424/0,S67/0
S379,S504/0,S517/0
S380,S490/0,S916/0
S942,S788/0,S449/0
S393,S930/0,S633/0
S378,S489/0,S633/0
S866,S915/0,S82/0
S784,S746/0,S761/0
S670,S437/0,S871/0
S387,S437/0,S543/0
S835,S70/0,S479/0
S180,S293/0,S420/0
S109,S934/0,S426/0
S351,S517/0,S773/0
S808,S659/0,S293/0
S496,S544/0,S259/0
S444,S921/0,S953/0
S221,S449/0,S24/0
S155,S104/0,S504/0
S634,S490/0,S607/0
S111,S544/0,S902/0
S485,S428/0,S657/0
S610,S919/0,S845/0
S484,S708/0,S659/0
S329,S788/0,S27/0
S209,S905/0,S82/0
S598,S907/0,S555/0
S308,S98/0,S639/0
S642,S659/0,S893/0
S962,S36/0,S788/0
S667,S794/0,S934/0
S355,S428/0,S104/0
S93,S543/0,S639/0
S214,S735/0,S421/0
S107,S848/0,S544/0
S751,S965/0,S948/0
S76,S911/0,S919/0
S249,S548/0,S517/0
S220,S639/0,S919/0
S21,S807/0,S953/0
S680,S907/0,S410/0
S405,S633/0,S953/0
S513,S965/0,S509/0
S787,S527/0,S24/0
S56,S964/0,S948/0
S860,S527/0,S426/0
S268,S708/0,S606/0
S658,S605/0,S592/0
S638,S861/0,S36/0
S91,S555/0,S426/0
S712,S900/0,S437/0
S416,S800/0,S60/0
S464,S580/0,S504/0
S281,S488/0,S772/0
S920,S735/0,S773/0
S48,S549/0,S410/0
S376,S543/0,S504/0
S271,S919/0,S964/0
S146,S508/0,S923/0
S628,S156/0,S525/0
S208,S508/0,S555/0
S705,S639/0,S508/0
S944,S440/0,S70/0
S353,S186/0,S930/0
S152,S489/0,S451/0
S100,S172/0,S295/0
S573,S921/0,S316/0
S498,S912/0,S911/0
S505,S517/0,S156/0
S889,S544/0,S735/0
S165,S549/0,S82/0
S258,S259/0,S807/0
S877,S555/0,S489/0
S298,S807/0,S827/0
S842,S525/0,S186/0
S216,S580/0,S293/0
S15,S794/0,S517/0
S359,S27/0,S293/0
S275,S428/0,S659/0
S824,S871/0,S885/0
S46,S70/0,S543/0
S563,S735/0,S912/0
S619,S607/0,S449/0
S193,S923/0,S848/0
S816,S788/0,S67/0
S188,S385/0,S67/0
S570,S543/0,S948/0
S602,S657/0,S930/0
