present_state,next_state_0,next_state_1
S231,S144/0,S49/1
S179,S57/1,S230/0
S168,S79/1,S119/1
S34,S158/1,S12/0
S137,S32/1,S139/0
S122,S215/0,S228/0
S68,S58/1,S170/1
S175,S175/1,S219/0
S115,S63/0,S159/0
S29,S53/1,S100/0
S121,S138/1,S112/0
S56,S65/1,S40/0
S109,S138/1,S183/1
S85,S123/1,S29/1
S160,S0/1,S73/1
S201,S91/1,S137/1
S58,S170/1,S9/0
S170,S175/1,S136/0
S199,S52/1,S166/1
S242,S151/0,S129/0
S177,S175/1,S161/1
S11,S13/0,S230/0
S35,S200/0,S192/0
S8,S225/1,S45/0
S96,S126/0,S214/0
S210,S207/0,S136/0
S224,S38/1,S230/0
S166,S206/1,S71/0
S225,S5/1,S140/1
S135,S156/1,S23/1
S19,S82/0,S136/0
S89,S37/0,S153/0
S69,S223/0,S159/0
S2,S51/1,S92/1
S126,S131/0,S117/0
S39,S146/1,S97/1
S180,S131/0,S87/0
S151,S152/0,S142/1
S72,S221/0,S188/1
S110,S54/0,S31/0
S140,S192/0,S127/1
S147,S206/1,S97/1
S48,S32/0,S220/0
S10,S142/0,S23/1
S133,S15/0,S143/0
S38,S238/1,S70/0
S145,S116/1,S212/0
S31,S52/0,S204/1
S158,S144/1,S190/0
S204,S115/0,S159/0
S205,S239/0,S241/0
S41,S119/1,S202/1
S81,S203/0,S162/0
S220,S156/1,S56/0
S111,S63/0,S14/0
S60,S132/1,S12/0
S67,S167/0,S153/0
S70,S24/0,S141/1
S118,S51/1,S236/1
S4,S34/1,S51/1
S7,S34/1,S149/0
S194,S84/0,S9/0
S215,S115/0,S26/0
S71,S61/0,S207/1
S192,S5/1,S65/0
S209,S34/1,S74/0
S162,S57/0,S197/1
S33,S172/0,S72/0
S26,S0/0,S126/1
S203,S59/0,S22/0
S77,S236/1,S231/0
S75,S137/0,S91/0
S164,S89/0,S47/0
S50,S57/1,S64/1
S16,S105/0,S126/1
S153,S121/0,S203/1
S216,S92/1,S153/0
S84,S217/0,S26/0
S28,S46/0,S12/0
S25,S158/1,S0/1
S143,S101/0,S99/1
S3,S127/0,S212/1
S13,S28/0,S74/0
S172,S37/0,S117/0
S17,S44/0,S169/0
S117,S206/0,S215/1
S79,S166/1,S14/0
S114,S193/0,S210/1
S208,S7/1,S123/1
S190,S218/0,S120/1
S187,S37/0,S9/0
S14,S209/0,S188/1
S183,S29/1,S190/0
S148,S56/1,S45/0
S98,S59/0,S169/0
S40,S129/0,S40/1
S211,S77/1,S61/1
S104,S133/0,S214/0
S99,S66/0,S87/0
S234,S57/1,S83/1
S181,S1/0,S31/0
S37,S194/0,S143/0
S228,S121/0,S203/1
S42,S170/1,S24/1
S92,S38/1,S162/0
S57,S179/1,S169/0
S178,S51/1,S87/0
S112,S216/0,S108/1
S124,S38/1,S146/1
S123,S34/1,S14/0
S141,S13/0,S22/0
S128,S107/0,S240/0
S65,S200/0,S129/1
S134,S194/0,S12/0
S189,S182/1,S14/0
S108,S141/0,S72/0
S174,S120/0,S31/0
S94,S119/1,S51/1
S105,S0/1,S143/0
S30,S210/0,S169/0
S230,S0/0,S122/1
S144,S0/1,S70/0
S66,S186/0,S87/0
S97,S86/1,S26/0
S139,S35/1,S76/0
S233,S144/1,S209/1
S53,S218/1,S219/0
S52,S86/1,S22/0
S142,S201/1,S65/0
S80,S30/0,S12/0
S95,S215/0,S70/0
S120,S43/0,S47/0
S154,S121/1,S31/0
S239,S21/1,S107/0
S200,S229/0,S56/0
S43,S36/0,S162/0
S61,S175/1,S169/0
S195,S180/0,S169/0
S240,S8/0,S76/1
S55,S44/0,S157/0
S182,S119/1,S214/0
S44,S30/0,S14/0
S206,S101/1,S112/0
S173,S135/0,S5/1
S152,S35/0,S152/0
S1,S81/0,S230/0
S103,S58/1,S117/0
