present_state,next_state_0,next_state_1
S4,S77/1,S53/0
S62,S55/1,S59/1
S22,S86/0,S96/1
S61,S63/1,S51/0
S18,S43/1,S24/0
S3,S67/0,S71/0
S30,S55/0,S65/1
S70,S47/0,S54/0
S42,S2/0,S11/1
S49,S80/1,S24/1
S64,S71/1,S9/0
S9,S47/0,S39/0
S48,S77/1,S8/1
S88,S58/0,S30/1
S63,S75/0,S24/1
S60,S62/0,S12/0
S15,S5/0,S21/0
S95,S19/0,S53/0
S50,S86/0,S74/1
S40,S70/1,S76/1
S13,S81/1,S49/1
S66,S5/0,S41/0
S20,S57/1,S37/0
S87,S39/1,S1/0
S43,S13/1,S61/1
S57,S35/1,S58/0
S59,S3/0,S88/1
S27,S71/1,S94/0
S5,S86/1,S59/1
S74,S3/0,S30/1
S69,S3/1,S22/1
S55,S5/0,S34/0
S21,S26/1,S15/0
S10,S31/1,S70/0
S77,S7/1,S7/1
S47,S92/1,S65/1
S83,S55/1,S88/1
S82,S87/1,S68/0
S54,S35/1,S70/0
S34,S84/1,S85/0
S12,S46/1,S86/0
S8,S52/0,S89/0
S68,S83/0,S46/0
S11,S55/0,S22/1
S65,S66/0,S22/1
S16,S32/1,S95/1
S29,S16/0,S19/0
S19,S19/1,S61/0
S89,S16/0,S33/1
S0,S48/0,S48/0
S44,S47/0,S71/0
S1,S38/0,S26/0
S7,S48/1,S18/1
S26,S82/1,S94/0
S79,S51/1,S4/0
S52,S14/0,S78/0
S24,S4/0,S8/1
S75,S89/0,S0/0
S86,S40/0,S39/0
S85,S56/0,S73/0
S80,S33/1,S91/0
S84,S84/1,S93/0
S94,S62/0,S10/0
S39,S35/1,S85/0
S73,S35/1,S68/0
S31,S73/1,S44/0
S38,S3/1,S50/1
S35,S64/1,S44/0
S72,S4/1,S25/0
S17,S44/1,S96/1
S46,S41/1,S66/0
S36,S0/0,S48/0
S6,S70/0,S42/1
S23,S55/1,S6/1
S96,S85/0,S96/1
S71,S82/1,S68/0
S76,S86/0,S96/1
S28,S1/0,S88/1
S2,S56/0,S20/0
S91,S45/0,S33/0
S90,S90/0,S7/0
S45,S75/1,S49/0
S78,S45/1,S8/0
S14,S7/0,S4/1
S93,S67/0,S87/0
S58,S56/0,S12/0
S53,S19/1,S32/1
S33,S25/0,S77/0
S51,S90/1,S90/0
S37,S69/0,S57/0
S41,S34/1,S1/0
S56,S44/1,S96/1
S32,S25/0,S32/0
S81,S61/0,S36/1
S25,S18/0,S77/0
S92,S17/0,S21/0
S67,S2/1,S11/1
