present_state,next_state_0,next_state_1
S18,S464/0,S343/1
S85,S560/0,S51/0
S590,S280/0,S139/0
S413,S117/0,S319/1
S319,S23/0,S569/0
S457,S29/1,S238/0
S429,S602/0,S316/1
S583,S492/1,S559/1
S128,S189/0,S317/0
S444,S43/0,S272/0
S96,S362/1,S306/1
S275,S138/0,S614/0
S19,S117/0,S64/0
S305,S130/0,S109/0
S30,S158/0,S27/1
S117,S3/0,S42/1
S64,S572/0,S103/0
S274,S374/0,S516/0
S616,S521/1,S496/1
S510,S422/1,S492/1
S400,S461/1,S514/1
S9,S371/0,S65/1
S473,S380/0,S180/0
S452,S398/0,S558/0
S433,S33/0,S181/1
S168,S413/0,S74/0
S106,S410/0,S586/0
S522,S1/1,S84/0
S157,S79/0,S414/1
S119,S190/0,S42/0
S212,S332/1,S566/1
S255,S302/0,S129/0
S78,S527/1,S306/1
S188,S531/1,S292/1
S350,S217/0,S497/0
S60,S149/0,S563/1
S204,S223/1,S400/1
S545,S609/1,S261/1
S121,S413/0,S53/1
S404,S506/1,S506/0
S179,S250/0,S242/0
S597,S529/1,S110/0
S610,S480/1,S83/1
S585,S366/1,S41/1
S506,S540/0,S35/1
S256,S544/0,S361/1
S425,S248/0,S503/0
S118,S561/1,S245/0
S584,S613/1,S600/1
S586,S413/0,S621/0
S415,S98/0,S216/0
S163,S41/1,S398/0
S68,S428/1,S185/1
S356,S23/0,S446/1
S370,S296/0,S304/1
S367,S466/0,S213/1
S449,S270/0,S168/1
S364,S557/0,S119/0
S340,S92/0,S418/1
S36,S578/0,S34/1
S558,S337/0,S465/0
S346,S88/1,S370/0
S338,S338/1,S39/0
S81,S356/0,S377/0
S302,S88/0,S404/0
S200,S490/1,S587/0
S240,S259/1,S276/1
S355,S383/0,S44/0
S278,S7/1,S251/0
S59,S62/1,S574/0
S23,S511/0,S336/1
S389,S384/1,S239/0
S108,S96/1,S0/1
S599,S138/0,S111/0
S56,S388/0,S503/1
S533,S282/1,S523/0
S352,S255/0,S582/0
S251,S611/1,S517/1
S507,S142/0,S93/1
S388,S190/0,S106/1
S327,S237/1,S241/0
S426,S445/0,S398/0
S93,S159/0,S551/0
S624,S354/0,S444/0
S29,S593/1,S517/0
S503,S433/0,S53/0
S126,S454/0,S373/1
S537,S309/1,S345/1
S222,S309/1,S264/1
S269,S222/1,S2/1
S521,S607/1,S565/1
S203,S164/0,S372/0
S217,S441/0,S119/1
S377,S499/0,S385/0
S26,S226/1,S609/1
S61,S45/0,S109/0
S249,S195/0,S244/0
S209,S150/1,S607/1
S276,S322/1,S240/1
S618,S159/0,S50/0
S57,S159/0,S377/0
S450,S507/0,S147/0
S357,S92/0,S147/0
S396,S314/1,S461/1
S496,S567/1,S604/1
S574,S54/1,S322/1
S170,S141/0,S425/0
S366,S27/1,S488/0
S474,S514/1,S514/1
S475,S596/0,S310/0
S33,S491/0,S64/1
S592,S390/1,S610/0
S289,S371/0,S166/0
S45,S63/0,S181/1
S562,S451/1,S521/0
S405,S375/1,S461/0
S254,S588/0,S10/1
S505,S247/1,S146/1
S380,S138/0,S392/1
S497,S33/0,S364/0
S434,S585/1,S229/1
S236,S487/0,S244/1
S332,S537/1,S15/1
S427,S606/0,S553/0
S460,S257/0,S366/1
S166,S388/0,S569/0
S397,S43/0,S424/0
S463,S208/0,S106/1
S442,S347/1,S241/0
S190,S487/0,S243/1
S131,S476/0,S216/1
S560,S430/0,S77/1
S270,S430/0,S526/1
S381,S141/0,S355/0
S467,S482/1,S527/0
S193,S276/1,S395/1
S51,S190/0,S619/0
S369,S171/1,S185/1
S184,S217/0,S421/1
S612,S519/0,S42/0
S145,S356/0,S569/1
S301,S529/1,S273/0
S107,S184/0,S67/0
S313,S380/0,S409/1
S587,S238/1,S575/1
S525,S167/0,S76/1
S285,S449/0,S601/0
S323,S98/0,S361/0
S579,S191/0,S411/0
S543,S256/0,S408/0
S469,S474/1,S495/1
S219,S205/1,S576/1
S109,S394/0,S326/0
S513,S222/1,S135/1
S472,S102/1,S438/1
S461,S54/1,S423/1
S262,S420/1,S135/1
S164,S487/0,S343/1
S196,S332/1,S576/1
S509,S432/0,S97/0
S242,S182/0,S144/0
S310,S491/0,S140/0
S371,S153/0,S275/1
S582,S225/0,S376/1
S98,S300/0,S221/1
S40,S260/1,S559/0
S34,S608/0,S426/1
S337,S296/0,S235/1
S174,S393/0,S10/1
S279,S270/0,S453/0
S111,S581/0,S17/0
S542,S164/0,S450/1
S464,S187/0,S4/1
S523,S108/1,S484/1
S495,S172/1,S332/1
S440,S95/0,S55/0
S227,S47/1,S226/1
S233,S571/0,S425/0
S67,S5/0,S323/0
S104,S214/1,S262/1
S177,S220/1,S496/0
S481,S474/1,S518/1
S182,S394/0,S231/1
S566,S219/1,S358/1
S572,S21/0,S109/1
S409,S217/0,S618/0
S101,S445/0,S353/1
S554,S269/1,S273/1
S192,S407/1,S322/1
S443,S321/0,S624/0
S482,S603/1,S481/0
S499,S157/0,S293/1
S468,S448/1,S15/1
S162,S158/0,S113/0
S5,S387/0,S625/1
S393,S342/0,S331/0
S148,S296/0,S27/0
S378,S604/1,S28/1
S530,S217/0,S285/0
S501,S137/1,S298/1
S595,S413/0,S473/1
S181,S313/0,S563/0
S53,S267/0,S414/0
S110,S545/1,S318/1
S349,S458/1,S514/1
S169,S282/1,S363/0
S58,S536/0,S608/0
S1,S529/1,S247/0
S490,S335/1,S521/0
