present_state,next_state_0,next_state_1
S241,S457/0,S66/0
S19,S411/0,S324/0
S167,S241/0,S563/0
S411,S411/0,S66/0
S457,S167/0,S563/0
S511,S167/0,S241/1
S165,S411/0,S19/1
S331,S167/0,S167/1
S392,S411/0,S19/1
S324,S392/1,S19/0
S197,S165/1,S457/0
S66,S511/1,S241/0
S563,S331/1,S411/0
S479,S19/1,S241/1
S311,S19/1,S167/1
S417,S457/1,S457/1
S194,S457/1,S19/1
S341,S259/1,S170/0
S488,S206/1,S209/0
S121,S217/1,S446/1
S278,S426/0,S434/1
S505,S394/1,S347/0
S388,S74/0,S394/0
S210,S560/0,S477/1
S262,S131/0,S487/1
S2,S377/1,S73/0
S472,S52/0,S398/0
S334,S403/0,S466/1
S227,S422/0,S256/1
S52,S36/0,S166/0
S252,S345/0,S218/1
S532,S508/0,S156/0
S398,S159/1,S501/1
S354,S185/0,S115/0
S97,S337/0,S225/1
S562,S341/1,S338/1
S405,S208/0,S218/1
S54,S112/0,S183/0
S475,S152/1,S174/0
S531,S282/0,S276/0
S496,S276/1,S57/0
S220,S271/0,S366/1
S343,S84/1,S105/0
S443,S147/1,S384/0
S473,S287/1,S463/1
S344,S333/0,S214/0
S391,S134/0,S437/0
S10,S320/1,S495/0
S135,S14/1,S401/1
S173,S149/1,S439/0
S259,S462/1,S414/0
S254,S195/1,S65/0
S360,S550/0,S488/0
S510,S233/0,S222/1
S410,S258/0,S15/0
S161,S124/1,S274/1
S509,S455/0,S102/0
S172,S346/1,S389/0
S202,S432/1,S490/1
S183,S514/1,S206/1
S14,S480/1,S117/1
S444,S138/0,S99/0
S339,S21/0,S72/0
S571,S149/0,S281/0
S386,S196/0,S547/1
S115,S54/0,S122/0
S397,S386/1,S60/0
S378,S316/1,S322/0
S450,S13/0,S166/0
S179,S205/0,S339/0
S181,S246/1,S451/1
S305,S138/0,S545/0
S72,S18/1,S550/1
S119,S559/1,S547/1
S441,S526/1,S30/0
S436,S177/0,S48/1
S541,S90/0,S147/1
S224,S431/0,S161/0
S58,S447/1,S313/1
S49,S72/1,S568/0
S291,S397/0,S282/0
S128,S446/1,S453/0
S448,S435/1,S421/0
S139,S51/0,S551/0
S217,S236/1,S316/1
S547,S12/1,S542/1
S309,S233/0,S361/0
S101,S243/1,S134/1
S187,S145/0,S273/0
S17,S24/1,S494/1
S382,S256/1,S313/0
S170,S383/0,S559/1
S50,S501/0,S442/0
S221,S47/0,S536/1
S402,S47/1,S123/1
S357,S345/0,S454/1
S127,S292/1,S109/0
S315,S1/1,S118/1
S430,S531/0,S153/1
S214,S527/1,S569/1
S528,S147/1,S467/0
S118,S64/0,S337/0
S59,S377/1,S78/1
S519,S38/0,S44/0
S105,S193/0,S200/1
S310,S546/1,S26/1
S63,S35/0,S243/1
S515,S5/1,S238/1
S129,S205/0,S541/1
S403,S378/1,S163/1
S423,S65/1,S193/1
S257,S227/1,S303/0
S248,S219/1,S346/0
S327,S413/1,S92/1
S530,S352/1,S267/0
S200,S355/1,S500/1
S435,S253/0,S279/0
S323,S502/1,S251/1
S264,S491/1,S364/1
S150,S472/0,S428/1
S401,S450/1,S69/0
S18,S561/1,S422/0
S88,S299/1,S485/0
S483,S485/0,S226/0
S230,S557/1,S541/1
S524,S237/1,S509/0
S415,S570/0,S440/1
S464,S5/1,S431/0
S273,S531/0,S174/0
S367,S567/1,S543/1
S526,S282/0,S530/1
S347,S418/0,S50/0
S332,S401/1,S367/1
S383,S499/0,S1/1
S399,S87/1,S144/1
S502,S33/0,S462/1
S142,S274/1,S59/1
S188,S314/1,S225/0
S389,S289/1,S464/1
S114,S345/0,S555/1
S249,S162/0,S427/1
S108,S261/0,S534/0
S281,S521/1,S178/1
S536,S486/1,S84/1
S461,S58/0,S406/0
S342,S73/1,S363/1
S266,S453/1,S447/1
S446,S375/1,S251/1
S442,S432/1,S338/1
S236,S86/1,S95/0
S301,S366/0,S238/0
S138,S224/1,S480/1
S199,S448/0,S340/0
S274,S452/0,S113/0
S228,S163/0,S525/1
S516,S520/0,S309/0
S322,S400/0,S500/1
S209,S366/1,S560/0
S545,S20/0,S81/1
S471,S302/1,S81/1
S549,S285/0,S258/1
S149,S337/0,S556/1
S186,S20/0,S385/1
S213,S100/0,S14/0
S428,S300/1,S301/0
S122,S426/1,S433/1
S38,S343/0,S250/1
S340,S538/0,S254/1
S136,S394/1,S190/0
S152,S20/0,S277/0
S282,S510/0,S64/0
S208,S81/0,S429/0
S409,S383/0,S441/1
S493,S375/0,S281/1
S319,S502/1,S57/0
S104,S155/0,S460/0
S542,S162/0,S505/0
S313,S273/1,S253/1
S74,S111/0,S318/0
S564,S510/1,S453/1
S467,S366/1,S211/1
S36,S172/1,S463/1
S153,S39/0,S5/1
S321,S47/1,S56/1
S247,S119/1,S460/1
S432,S423/1,S1/0
S205,S365/0,S290/0
S359,S308/0,S492/0
S33,S105/1,S448/1
S336,S366/1,S40/0
S345,S301/0,S164/0
S474,S75/1,S236/0
S219,S473/0,S389/1
S176,S291/1,S337/0
S120,S64/1,S354/0
S346,S442/0,S504/1
S294,S314/1,S235/0
S103,S243/0,S31/1
S290,S104/0,S32/1
S316,S301/0,S550/1
S180,S162/1,S513/1
S238,S409/1,S209/0
S90,S362/1,S85/0
S373,S249/0,S70/0
S396,S493/1,S357/1
S439,S408/1,S272/1
S491,S341/1,S447/0
S76,S554/1,S516/1
S113,S225/0,S236/0
S126,S149/1,S326/0
S295,S313/0,S409/1
S164,S148/0,S47/0
S421,S325/1,S549/0
S555,S84/0,S408/1
S544,S321/1,S459/1
S300,S519/0,S293/1
S80,S75/0,S493/0
S572,S259/0,S347/0
S109,S292/0,S373/1
S276,S477/1,S491/1
S455,S272/1,S572/1
S223,S533/0,S225/1
S308,S370/1,S261/1
S111,S190/1,S446/1
S222,S90/0,S378/0
S522,S245/0,S259/0
S12,S213/1,S418/0
S5,S317/0,S332/1
S20,S379/0,S354/1
S31,S170/0,S534/0
S350,S31/1,S356/1
S478,S445/0,S543/1
S546,S179/1,S504/0
S506,S60/0,S15/0
S94,S422/0,S490/1
S364,S522/0,S246/0
S212,S157/1,S208/0
S11,S39/0,S440/1
S81,S441/0,S322/0
S57,S196/1,S43/0
S429,S381/1,S39/1
S46,S74/1,S156/1
S279,S323/1,S291/0
S86,S69/1,S158/0
S477,S147/1,S455/0
S65,S295/0,S192/1
S44,S360/0,S490/1
S349,S156/0,S450/0
S110,S204/0,S422/0
S15,S68/1,S504/0
S302,S537/1,S383/1
S190,S557/1,S67/0
S91,S306/1,S46/1
S246,S118/1,S472/0
S154,S91/1,S532/0
S292,S101/1,S190/0
S102,S31/0,S569/0
S7,S124/0,S354/0
S107,S124/0,S501/1
S61,S403/1,S184/1
S384,S304/1,S152/1
S413,S54/0,S10/0
S381,S232/0,S70/0
S487,S204/1,S337/1
S298,S52/1,S365/0
S130,S264/0,S503/1
S98,S12/1,S173/0
S387,S393/0,S186/1
S272,S106/0,S14/1
S277,S322/1,S349/0
S551,S529/0,S138/1
S355,S352/1,S523/1
S96,S316/0,S35/0
S484,S131/0,S302/1
S85,S34/1,S26/1
S285,S258/0,S82/0
S452,S349/0,S210/1
S371,S450/1,S155/0
S538,S14/0,S164/1
S394,S558/0,S551/1
S500,S40/0,S442/1
S244,S111/0,S293/0
S299,S463/1,S124/1
S234,S287/0,S377/1
S529,S76/0,S410/0
S462,S508/1,S117/0
S243,S482/1,S557/0
S379,S485/1,S239/1
S412,S386/1,S298/0
S499,S87/1,S254/1
S570,S213/1,S403/1
S69,S537/1,S137/1
S56,S183/1,S366/0
S374,S478/1,S465/0
S0,S218/1,S523/0
S362,S435/1,S204/0
S416,S189/1,S286/0
S41,S133/1,S31/1
S141,S344/1,S142/1
S561,S250/0,S344/1
