present_state,next_state_0,next_state_1
S143,S382/1,S53/0
S10,S137/1,S216/0
S615,S518/0,S159/1
S244,S137/1,S155/0
S466,S493/0,S568/0
S256,S317/0,S396/0
S438,S250/1,S15/1
S121,S307/0,S427/0
S88,S547/1,S62/1
S93,S489/0,S454/0
S16,S103/1,S251/0
S21,S463/0,S198/0
S311,S229/0,S452/1
S325,S250/1,S298/0
S11,S218/0,S80/1
S609,S54/0,S472/1
S433,S429/0,S218/0
S276,S530/1,S496/1
S481,S248/0,S275/1
S211,S436/1,S325/0
S33,S463/0,S124/0
S228,S435/1,S509/0
S323,S378/0,S153/0
S592,S405/0,S138/1
S410,S69/0,S61/0
S446,S149/0,S187/0
S363,S552/0,S620/0
S280,S547/1,S589/1
S207,S313/0,S0/0
S79,S267/1,S610/0
S218,S556/1,S468/0
S321,S0/1,S339/1
S164,S546/1,S19/1
S350,S399/0,S259/1
S140,S189/1,S501/0
S226,S275/0,S356/0
S347,S47/0,S28/1
S430,S28/1,S303/0
S12,S88/0,S340/0
S557,S550/1,S423/1
S566,S265/1,S64/0
S46,S210/0,S55/1
S542,S338/0,S605/0
S14,S305/0,S225/0
S60,S197/0,S162/0
S7,S390/0,S304/0
S132,S172/1,S339/0
S266,S203/0,S37/0
S116,S57/1,S168/0
S621,S328/1,S590/0
S627,S57/0,S531/1
S431,S70/1,S450/0
S309,S2/0,S553/1
S178,S13/1,S608/0
S28,S520/1,S403/1
S151,S80/1,S572/0
S548,S519/0,S272/1
S442,S603/1,S613/0
S575,S425/1,S72/0
S413,S197/1,S593/1
S471,S369/1,S260/0
S342,S60/0,S298/0
S194,S529/0,S302/1
S362,S513/0,S364/0
S72,S449/1,S72/1
S18,S98/1,S616/0
S154,S211/1,S115/1
S265,S250/1,S123/1
S29,S332/0,S368/1
S547,S69/1,S285/0
S399,S73/0,S580/0
S5,S22/0,S302/1
S427,S400/1,S556/0
S113,S117/1,S306/0
S35,S482/0,S372/0
S545,S555/0,S28/1
S605,S292/0,S51/1
S360,S540/1,S238/1
S295,S373/0,S431/0
S126,S294/0,S66/0
S585,S39/0,S309/0
S559,S32/0,S428/1
S254,S177/1,S100/0
S598,S129/1,S13/1
S247,S296/0,S49/1
S202,S468/0,S250/1
S361,S179/0,S223/0
S195,S21/0,S614/1
S130,S482/1,S233/0
S139,S317/0,S132/0
S340,S142/1,S589/0
S198,S366/1,S522/0
S36,S28/1,S261/0
S76,S541/0,S95/1
S42,S74/1,S230/1
S357,S476/0,S427/0
S626,S428/0,S244/0
S85,S446/1,S560/0
S238,S47/0,S276/1
S169,S172/1,S543/0
S384,S340/1,S339/1
S83,S445/0,S262/0
S395,S366/1,S148/0
S573,S26/1,S91/1
S343,S626/0,S360/1
S308,S516/0,S260/0
S521,S624/0,S321/1
S245,S189/0,S130/0
S518,S74/0,S174/0
S498,S607/0,S3/1
S174,S105/1,S26/1
S520,S158/1,S109/0
S500,S395/1,S233/1
S20,S426/1,S312/1
S567,S622/0,S267/0
S570,S49/1,S282/0
S485,S616/1,S486/1
S458,S207/0,S275/1
S530,S117/1,S146/0
S9,S132/1,S76/1
S375,S126/0,S73/1
S537,S537/0,S553/0
S115,S176/0,S60/1
S494,S392/0,S169/0
S408,S313/0,S227/0
S367,S472/0,S401/0
S496,S171/0,S366/1
S379,S442/0,S307/1
S153,S276/1,S232/0
S272,S242/0,S46/1
S365,S411/1,S498/0
S260,S512/0,S273/1
S69,S75/1,S625/1
S24,S439/0,S584/1
S614,S220/1,S589/1
S510,S219/0,S614/1
S487,S231/1,S216/0
S506,S305/0,S454/0
S44,S598/1,S334/1
S622,S461/0,S163/0
S562,S583/1,S218/1
S233,S126/0,S305/1
S504,S260/1,S147/0
S208,S201/0,S175/1
S134,S594/1,S375/0
S203,S455/1,S200/1
S59,S71/0,S524/1
S117,S124/1,S23/1
S4,S88/0,S66/0
S223,S9/1,S31/0
S560,S217/0,S210/0
S17,S392/1,S263/0
S385,S84/0,S500/1
S475,S378/1,S233/0
S533,S402/1,S612/1
S335,S275/0,S225/0
S209,S633/0,S452/0
S75,S213/1,S507/0
S184,S54/1,S135/0
S495,S117/1,S554/0
S499,S326/1,S210/1
S328,S367/0,S312/1
S599,S602/1,S349/0
S401,S486/0,S345/0
S356,S252/1,S247/0
S52,S245/0,S366/1
S351,S218/0,S267/1
S613,S260/1,S310/0
S584,S612/0,S551/0
S103,S549/0,S423/0
S578,S187/1,S619/0
S49,S356/1,S353/1
S80,S334/1,S402/1
S6,S79/1,S457/1
S580,S588/1,S148/0
S465,S83/1,S156/0
S290,S229/0,S628/1
S400,S457/0,S606/0
S522,S288/0,S428/1
S597,S378/1,S282/0
S397,S83/1,S561/0
S468,S464/0,S293/1
S90,S79/1,S243/0
S193,S465/0,S54/0
S612,S615/0,S86/1
S37,S463/1,S496/0
S262,S209/1,S300/1
S569,S500/1,S629/0
S41,S95/0,S517/0
S48,S49/0,S81/0
S177,S363/0,S400/1
S549,S573/1,S71/0
S316,S534/0,S276/1
S111,S272/0,S448/0
S568,S397/1,S44/1
S437,S354/1,S90/1
S43,S322/0,S495/0
S298,S15/0,S16/0
S512,S118/1,S369/0
S250,S326/0,S564/0
S402,S620/1,S476/0
S358,S588/0,S514/0
S473,S601/0,S175/1
S180,S569/1,S574/1
S70,S8/1,S589/1
S112,S300/0,S584/1
S65,S172/0,S569/0
S55,S25/1,S607/0
S348,S313/1,S339/0
S310,S502/1,S357/1
S543,S488/0,S137/1
S507,S4/0,S390/1
S133,S136/1,S165/0
S594,S240/1,S146/1
S106,S366/1,S216/0
S346,S469/0,S49/1
S225,S630/1,S216/0
S40,S212/1,S420/1
S336,S380/1,S375/1
S190,S360/1,S521/0
S269,S56/0,S69/1
S149,S479/0,S212/0
S288,S588/0,S395/0
S540,S482/1,S596/0
S391,S9/1,S543/0
S51,S199/0,S452/0
S596,S319/0,S313/1
S64,S607/0,S108/1
S124,S321/1,S119/0
S341,S252/1,S122/0
S282,S104/0,S189/1
S383,S360/0,S407/0
S462,S418/1,S160/0
S583,S72/1,S90/1
S451,S95/0,S515/0
S86,S516/0,S127/1
S486,S152/1,S401/0
S419,S373/0,S341/0
S261,S388/0,S9/1
S281,S161/0,S10/0
S526,S494/0,S137/1
S127,S103/1,S105/1
S387,S63/1,S338/1
S330,S313/0,S140/0
S435,S537/1,S312/1
S92,S376/1,S165/1
S600,S231/0,S570/0
S593,S59/0,S415/1
S123,S503/0,S311/1
S297,S553/1,S333/0
S505,S610/1,S398/1
S264,S77/0,S394/0
S2,S567/0,S221/1
S232,S408/0,S179/1
S131,S117/1,S268/0
S632,S117/0,S487/0
S454,S95/1,S554/0
S95,S8/1,S629/1
S215,S322/0,S10/0
S68,S433/0,S556/0
S150,S613/0,S449/0
S532,S428/1,S316/0
S587,S55/1,S92/1
S441,S351/1,S39/0
S561,S293/0,S71/1
S213,S153/1,S554/1
S77,S593/1,S40/0
S516,S550/1,S607/0
S425,S616/1,S92/0
S601,S305/0,S198/0
S339,S453/0,S489/1
S606,S442/0,S286/1
S349,S154/1,S426/0
S439,S465/0,S192/1
S515,S259/1,S350/0
S448,S115/0,S365/1
S604,S281/0,S305/1
S519,S63/0,S591/0
S390,S565/1,S574/1
S81,S189/1,S258/0
S1,S115/0,S587/1
S271,S179/0,S455/0
S186,S49/0,S515/0
S217,S338/0,S471/1
S576,S467/1,S345/0
S307,S334/0,S548/0
S118,S187/0,S235/0
S467,S118/1,S107/1
S536,S197/0,S426/0
S3,S191/0,S107/1
S251,S77/0,S472/1
S185,S594/1,S385/0
S306,S291/0,S161/1
S366,S348/1,S306/1
S23,S271/0,S294/1
S221,S434/1,S621/0
S188,S400/0,S60/0
S105,S54/0,S524/0
S556,S425/0,S15/1
S255,S590/1,S523/0
S296,S259/0,S570/0
S405,S199/1,S562/0
S320,S421/0,S455/0
S236,S426/0,S29/1
S463,S395/1,S148/1
S248,S49/0,S134/0
S334,S63/1,S406/0
S352,S322/1,S574/0
S125,S275/0,S475/0
S227,S630/1,S344/0
S620,S278/1,S461/0
S382,S20/1,S615/1
S100,S485/0,S77/0
S13,S571/0,S342/0
S443,S35/0,S305/1
S476,S241/0,S448/0
S551,S111/0,S415/1
S501,S93/0,S313/1
S332,S462/1,S123/0
S171,S366/0,S348/0
S0,S317/1,S31/0
S313,S391/1,S522/1
S197,S150/1,S461/1
S54,S188/0,S235/0
S603,S538/1,S406/1
S239,S331/1,S151/1
S326,S214/1,S78/0
S22,S239/0,S523/1
S257,S88/0,S528/0
S535,S56/0,S95/1
S172,S227/1,S119/1
S57,S264/0,S42/0
S563,S54/0,S182/0
S377,S433/0,S253/1
S161,S36/1,S473/1
S246,S322/0,S569/0
S407,S280/1,S375/0
S47,S70/0,S515/0
S210,S235/0,S418/0
S27,S295/0,S172/1
S393,S406/0,S107/0
S204,S321/1,S268/0
S610,S64/0,S236/0
S240,S421/1,S269/0
S484,S449/0,S235/1
S303,S291/0,S614/1
S196,S104/0,S180/1
S396,S594/1,S473/0
S135,S422/0,S236/0
S160,S63/1,S461/0
S404,S534/0,S102/1
S220,S390/1,S343/0
S67,S451/0,S305/1
S464,S60/1,S610/1
S409,S172/0,S337/0
S327,S602/0,S557/1
S62,S409/0,S213/1
S157,S127/0,S605/0
S286,S382/0,S85/0
S317,S8/1,S510/1
S114,S69/0,S430/0
S302,S166/0,S578/1
S456,S80/1,S193/0
S579,S33/0,S500/1
S388,S142/0,S540/0
S25,S519/1,S549/0
S304,S88/1,S208/0
S58,S102/0,S289/0
S175,S474/1,S146/1
S301,S626/0,S366/1
S528,S175/1,S343/0
S503,S80/0,S533/0
S138,S612/1,S538/1
S539,S213/1,S282/0
S416,S11/0,S437/0
S428,S356/1,S501/1
S406,S446/0,S509/0
S474,S73/1,S558/0
S110,S179/0,S167/0
S412,S9/0,S475/0
S429,S312/0,S145/0
S490,S69/1,S269/0
S359,S290/0,S427/0
S191,S529/0,S72/1
S38,S612/1,S182/1
S527,S121/0,S127/1
S230,S608/0,S382/1
S279,S242/1,S438/0
S589,S488/0,S500/1
S104,S179/0,S430/0
S87,S127/0,S127/0
S242,S471/0,S217/1
S287,S588/1,S625/0
S354,S20/1,S551/1
S546,S230/0,S149/0
S253,S387/1,S127/1
S558,S511/0,S276/1
S457,S324/0,S606/1
S284,S236/0,S537/1
S192,S60/1,S265/0
S374,S172/0,S430/0
S219,S88/0,S225/0
S283,S275/1,S27/0
S206,S614/0,S480/0
S553,S566/1,S46/1
