present_state,next_state_0,next_state_1
S77,S344/0,S208/0
S100,S695/0,S429/0
S35,S501/0,S526/0
S177,S72/0,S560/0
S355,S529/0,S332/0
S616,S133/0,S445/0
S321,S277/0,S54/0
S562,S526/0,S481/0
S521,S136/0,S332/0
S603,S539/0,S585/0
S656,S644/0,S3/0
S120,S322/0,S651/0
S546,S61/0,S450/0
S544,S677/0,S310/0
S622,S86/0,S201/0
S660,S3/0,S365/0
S210,S14/0,S93/0
S703,S203/0,S651/0
S437,S313/0,S198/0
S543,S501/0,S198/0
S391,S222/0,S390/0
S112,S148/0,S272/0
S617,S9/0,S374/0
S678,S146/0,S680/0
S81,S560/0,S39/0
S648,S277/0,S374/0
S671,S198/0,S0/0
S659,S310/0,S79/0
S176,S133/0,S365/0
S217,S93/0,S529/0
S419,S472/0,S363/0
S346,S466/0,S146/0
S78,S363/0,S312/0
S458,S332/0,S447/0
S116,S277/0,S236/0
S347,S611/0,S619/0
S319,S447/0,S636/0
S413,S168/0,S386/0
S629,S481/0,S133/0
S299,S172/0,S600/0
S53,S540/0,S693/0
S471,S214/0,S71/0
S31,S236/0,S311/0
S432,S447/0,S148/0
S12,S136/0,S585/0
S428,S495/0,S598/0
S377,S368/0,S311/0
S248,S597/0,S272/0
S533,S14/0,S713/0
S135,S583/0,S445/0
S234,S93/0,S668/0
S705,S214/0,S642/0
S516,S71/0,S71/0
S143,S316/0,S71/0
S94,S472/0,S483/0
S452,S261/0,S575/0
S132,S3/0,S277/0
S552,S695/0,S86/0
S506,S311/0,S472/0
S427,S365/0,S365/0
S403,S348/0,S364/0
S455,S14/0,S88/0
S581,S14/0,S539/0
S421,S388/0,S370/0
S194,S507/0,S272/0
S204,S476/0,S642/0
S558,S450/0,S517/1
S502,S390/0,S227/1
S511,S292/0,S329/1
S216,S228/0,S109/1
S339,S228/0,S359/1
S195,S426/0,S314/1
S238,S644/0,S440/1
S567,S272/0,S567/1
S710,S304/0,S686/1
S334,S198/0,S690/1
S223,S483/0,S691/1
S199,S634/0,S393/1
S397,S618/0,S645/1
S613,S495/0,S264/1
S412,S39/0,S440/1
S404,S642/0,S555/1
S202,S79/0,S68/1
S109,S364/0,S109/1
S284,S277/0,S264/1
S264,S146/0,S511/1
S460,S499/0,S710/1
S359,S348/0,S334/1
S279,S573/0,S7/1
S652,S535/0,S85/1
S271,S304/0,S109/1
S561,S236/0,S83/1
S691,S507/0,S264/1
S559,S376/0,S359/1
S129,S386/0,S555/1
S525,S476/0,S404/1
S375,S376/0,S542/1
S393,S472/0,S525/1
S479,S373/0,S397/1
S584,S442/0,S639/1
S83,S296/0,S209/1
S314,S495/0,S226/1
S315,S222/0,S29/1
S517,S214/0,S18/1
S686,S644/0,S652/1
S275,S152/0,S446/1
S209,S711/0,S710/1
S239,S354/0,S605/1
S682,S442/0,S613/1
S454,S392/0,S591/1
S645,S365/0,S129/1
S68,S348/0,S223/1
S595,S374/0,S404/1
S469,S507/0,S686/1
S227,S634/0,S309/1
S675,S245/0,S329/1
S329,S495/0,S460/1
S555,S203/0,S595/1
S125,S384/0,S446/1
S639,S298/0,S264/1
S85,S447/0,S1/1
S446,S14/0,S511/1
S101,S152/0,S309/1
S309,S208/0,S502/1
S226,S292/0,S271/1
S591,S304/0,S195/1
S341,S198/0,S446/1
S542,S486/0,S129/1
S29,S148/0,S517/1
S605,S344/0,S359/1
S628,S373/0,S690/1
S1,S322/0,S202/1
S690,S3/0,S555/1
S7,S316/0,S502/1
S440,S293/0,S309/1
S509,S560/0,S479/1
S18,S71/0,S199/1
S612,S571/1,S8/0
S402,S235/1,S230/0
S134,S52/1,S182/0
S356,S549/1,S247/0
S477,S235/1,S175/0
S381,S477/1,S674/0
S568,S273/1,S338/0
S105,S70/1,S70/0
