present_state,next_state_0,next_state_1
S17,S38/0,S22/0
S31,S38/0,S32/0
S11,S7/0,S32/0
S41,S32/0,S22/0
S13,S22/0,S32/0
S27,S22/0,S9/0
S1,S9/0,S9/0
S5,S22/0,S24/0
S33,S12/0,S22/0
S10,S22/0,S22/0
S21,S12/0,S9/0
S7,S36/0,S24/1
S12,S3/0,S24/1
S32,S45/0,S24/1
S24,S45/0,S24/1
S22,S3/0,S24/1
S9,S15/0,S9/1
S38,S36/0,S12/1
S15,S21/1,S26/0
S45,S11/1,S43/0
S36,S41/1,S19/0
S3,S21/1,S28/0
S40,S31/1,S4/0
S16,S33/1,S2/0
S44,S13/1,S25/0
S0,S27/1,S34/0
S42,S36/1,S10/1
S23,S44/1,S11/1
S4,S15/1,S10/1
S25,S36/1,S31/1
S2,S45/1,S17/1
S29,S40/1,S1/1
S28,S40/1,S5/1
S34,S45/1,S17/1
S43,S40/1,S10/1
S19,S16/1,S33/1
S20,S0/1,S5/1
S18,S0/1,S13/1
S26,S40/1,S17/1
S14,S15/1,S33/1
S37,S30/1,S35/0
S8,S8/0,S6/0
S6,S6/0,S6/0
S39,S37/1,S8/0
S30,S8/1,S35/0
S35,S6/1,S37/0
